id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
84575,47712109,Huge King Size Room in East Village,83677508495,verified,Imran,Manhattan,Gramercy,40.73458,-73.98128,United States,US,TRUE,moderate,Private room,2022,"$1,112 ",$222 ,1,5,4/23/2017,0.16,4,1,249,"No smoking, drugs, alcohol or pets allowed in the property, including the balcony. No overnight guests or parties.",
13652,8541336,Cozy private room with own TV,73652822463,unconfirmed,Mark,Queens,Woodhaven,40.69454,-73.85041,United States,US,FALSE,moderate,Private room,2015,$418 ,$84 ,5,34,06-10-2019,0.85,2,6,99,"We expect that you would treat the house as if it were your own. We would ask that you be respectful of noise after 10p. We expect that if you cook, you may use any of our kitchen utensils and appliances, but they should be cleaned/dishes washed/etc. before leaving the house. When you leave, please strip the bed of sheets and pillowcases, towels, etc, and either leave them on the floor, or if you are feeling helpful, bring them to the laundry room and put them into the washing machine with the provided detergent.  Basically, please treat the house as if it were your inlaw's house, and you were visiting for the holidays. Show the house respect, and keep the common areas clean, and it'll be a wonderful experience! ",
47886,27448774,"50% off! Trendy Wburg, private yard",68182116058,verified,Tc,Brooklyn,Williamsburg,40.71186,-73.9399,United States,US,TRUE,moderate,Private room,2009,$204 ,$41 ,2,2,07-01-2019,2,4,3,74,ABSOLUTELY NO SMOKING.,
37532,21730260,Bedstuy Artists Quarter (tower corner room),50300011259,unconfirmed,Louis,Brooklyn,Bedford-Stuyvesant,40.68398,-73.94179,United States,US,FALSE,strict,Private room,2007,$542 ,$108 ,1,10,4/28/2019,1.33,3,2,2,"- This apartment is a place for self-sufficient guests and travellers who require minimal host attention and checking-in except in the case of emergencies. - keys are picked up off-site at our company's offices in the Noth End.  Very close to Charlestown and on the way from the airport to the apartment. - No loud music after 10pm - No overnight guests - No smoking - Non-service animals not permitted - No live flames of any kind (i.e. candles, incense, etc.)",
34344,19969527,*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite with Kitchen,34844759445,unconfirmed,Red Awning,Manhattan,Midtown,40.75417,-73.96557,United States,US,TRUE,flexible,Entire home/apt,2009,$848 ,$170 ,3,8,06-02-2019,1.02,5,49,188,"No guests over other than the ones in your booking. No smoking in apartment or rooftop lounge No partying No loud music that would disturb other residents. No pets. Must be clean and sanitary. If you cook, you must clean up and return all cooking utensils back in their proper place. If you wish to do laundry, bring your own detergent.",
3893,3151440,Near Columbia Universit/Female only,31211091779,verified,Rong,Manhattan,Harlem,40.82039,-73.95514,United States,US,TRUE,moderate,Private room,2022,$794 ,$159 ,1,5,01-03-2016,0.08,3,2,101,"No drugs, no smoking, no pets (our dog is enough pet for us). Make sure the front door is shut securely when you come and go, as our dog Lucy likes to sneak out and explore when we're not looking! No additional guests or visitors without prior permission. If you'd like to have guests over please ask us first.",
76903,43474863,Master bedroom/20min Manhattan/individual bathroom,16110109511,unconfirmed,Yuxi,Queens,Woodside,40.74246,-73.90125,United States,US,FALSE,strict,Private room,2006,$937 ,$187 ,1,7,5/27/2017,0.23,2,1,0,"NO SMOKING, NO PETS Check-in after noon and before 7pm. $50 fee if check-in after 7pm. No check-ins after midnight. Check-out 11am $1000 refundable security deposit, $100 move-in fee charged by the building and $100 cleaning fee.",
67390,38220833,Room for 3 in The Heart of New York,900967507,unconfirmed,Hasan,Manhattan,Kips Bay,40.74344,-73.98012,United States,US,TRUE,flexible,Private room,2003,$107 ,$21 ,30,1,04-12-2020,0.04,3,1,0,,
1206,1667410,Boerum Hill Brownstone Garden Duplx,83831563641,unconfirmed,Tiffany,Brooklyn,Boerum Hill,40.68586,-73.9809,United States,US,TRUE,moderate,Entire home/apt,2016,$443 ,$89 ,2,134,07-07-2019,1.56,4,1,251,"The art is for your enjoyment.  Please do not touch or move anything. Please make up beds with fresh linens and wash towels and linens before you leave.  Leave house broom clean.  Dishes should be washed and put away. Sorry, no pets and no smoking.  There are age restrictions for guests.",
47351,27153293,wait until later,92282249926,verified,Chen,Queens,Long Island City,40.74869,-73.94294,United States,US,TRUE,moderate,Entire home/apt,2010,$616 ,$123 ,1,0,,,5,1,365,"We live and let live - hoping that you'd be respectful, will care for the property, and enjoy your time! 1. The building is not pet friendly. Hence, no pets please. 2. Smoking outside/porch area only. 3. You are free to use our kitchen, but we expect you to clean up after yourself. 4. Please clean up any mess you make in the room. 5. Please treat the common amenities with respect. 6. Please ensure the bathrooms are clean post use.",
33764,19649193,vicky客栈2,76687185377,verified,Vicky,Queens,Flushing,40.74298,-73.82306,United States,US,FALSE,moderate,Private room,2005,$600 ,$120 ,1,26,07-07-2019,2.34,2,5,46,No Smoking or Pets,
84192,47500578,A big Sunny Room.,71467653110,unconfirmed,Michael,Brooklyn,East New York,40.67327,-73.8872,United States,US,FALSE,strict,Private room,2018,$522 ,$104 ,1,147,07-02-2019,4.08,4,2,149,"No smoking inside. Since I have a dog, there are no other pets allowed.",
92757,52231027,Room in a luxury doorman building in Midtown,35232347619,verified,Evelina,Manhattan,Murray Hill,40.74658,-73.97782,United States,US,TRUE,strict,Private room,2014,$682 ,$136 ,2,3,1/31/2018,0.17,2,1,0,No Smoking No Pets,
11658,7440049,Charming 2 Bed apt/Uptown Manhattan,30770523315,verified,Polly,Manhattan,Washington Heights,40.85479,-73.93313,United States,US,TRUE,moderate,Entire home/apt,2008,$930 ,$186 ,5,6,11/26/2016,0.14,4,3,361,No smoking.,
23687,14083666,"East 19th Street, Charming 1Bd Serviced Apt",39303435296,verified,Ken,Manhattan,Gramercy,40.73643,-73.98724,United States,US,TRUE,moderate,Entire home/apt,2003,$213 ,$43 ,30,0,,,4,87,310,,
38709,22380317,"Lofty UES 1BR w/ Indoor pool, Doorman, City views by Blueground",92891702033,unconfirmed,Blueground,Manhattan,Upper East Side,40.77518,-73.9491,United States,US,TRUE,moderate,Entire home/apt,2020,$364 ,$73 ,30,1,3/31/2019,0.3,5,232,235,No Smoking in the building and common courtesy and respect. Roomate who rents with me needs use of the batroom around 7:15 am to  get ready for work. Enjoy your time here in Boston!,
20474,12309126,"Shared Living Space in Bushwick, Brooklyn",70384960358,unconfirmed,Monica,Brooklyn,Bedford-Stuyvesant,40.68937,-73.9226,United States,US,FALSE,flexible,Shared room,2004,$687 ,$137 ,1,3,12/31/2016,0.1,1,2,0,,
4428,3446920,Alcove Studio in Downtown Manhattan,71493231020,verified,Nattie,Manhattan,Chelsea,40.73893,-73.99464,United States,US,FALSE,flexible,Entire home/apt,2022,$70 ,$14 ,2,12,11-02-2015,0.19,3,1,141,"Guests are to clean after themselves after bathroom, kitchen, dinning, bed rooms and living room use. No smoking is allowed in the apartment. No pets are allowed Keys are to be returned where designated post reservation stay. Any damages to the property or its contents must be reported immediately",
3184,2759859,"14 min to Union Square, Manhattan-Sunny Modern Rm",41110391685,unconfirmed,Erica And Jorel,Brooklyn,Bushwick,40.70505,-73.92281,United States,US,TRUE,moderate,Private room,2005,$121 ,$24 ,1,238,05-12-2019,3.46,1,3,36,,
76367,43178830,Luxury Apartment in Williamsburg!,41992510305,unconfirmed,David,Brooklyn,Williamsburg,40.71258,-73.95191,United States,US,FALSE,strict,Entire home/apt,2020,$436 ,$87 ,5,5,6/14/2018,0.16,3,3,0,1. No house parties 2. Do not damage any of the furniture or appliances.  3. Do not take anything that has been provided for your comfort and enjoyment.  4. Enjoy yourself! And please reach out if you have any questions or concerns.,
46814,26856708,Cozy Attic RM in Home w/Backyard/Patio/Near Metro,59658092242,unconfirmed,Armando,Bronx,Fordham,40.86947,-73.89389,United States,US,FALSE,strict,Private room,2021,"$1,064 ",$213 ,3,0,,,4,10,86,"As mentioned, this is a quiet neighborhood with a mix of young people starting out and families, and we have neighbors living above us in the house and on either side of the house.  As such, loud, late night parties will not be hosted here. We would hope that this house would serve as your staging place to a great Boston experience, but that the bulk of that experience will occur while you are out exploring the area!",
29184,17119659,"Yoga & sauna during your stay, spacious & sunny.",27054382141,verified,Gabriela,Brooklyn,Carroll Gardens,40.68243,-73.99334,United States,US,TRUE,strict,Private room,2006,"$1,190 ",$238 ,1,20,6/20/2019,1.23,5,4,132,#NAME?,
66936,37970089,New York on the Ocean,7987691485,verified,Elena,Brooklyn,Brighton Beach,40.57476,-73.9562,United States,US,TRUE,flexible,Entire home/apt,2004,$607 ,$121 ,30,24,8/26/2020,0.61,3,3,364,,
47089,27008591,A large room in 2br apartment,71547514114,verified,Ameer,Manhattan,Upper East Side,40.773,-73.94759,United States,US,TRUE,flexible,Private room,2008,$208 ,$42 ,8,0,,,4,2,77,No Drugs Respect the Neighbourhood No excess Noise Smoking allowed Drinking allowed Pets allowed Keep the house clean Respect your roommates Wash your own utensils if used,
14601,9065468,Colorfull apart in NY.,13028794991,unconfirmed,Tida,Manhattan,East Harlem,40.78687,-73.94542,United States,US,FALSE,flexible,Entire home/apt,2019,$358 ,$72 ,5,35,07-01-2019,1.27,2,2,204,,
38634,22338894,Modern 1BR near Times Square w/ Indoor pool + Gym by Blueground,92007068892,unconfirmed,Blueground,Manhattan,Theater District,40.76135,-73.98668,United States,US,TRUE,strict,Entire home/apt,2008,$632 ,$126 ,30,0,,,5,232,35,,
2499,2381534,Private room minutes from midtown!,83783901932,verified,Roque,Bronx,Mott Haven,40.81291,-73.90772,United States,US,FALSE,flexible,Private room,2004,$784 ,$157 ,2,147,6/24/2019,2.02,4,1,250,We have two kids. We will be respectful to Guests and expect you to be the same. Its a 3 floor house and we live in the top floor so you will have quiet time. Kids go to Daycare all day.,
15652,9645936,Cozy Sunny room,48674931501,verified,Marilyn,Queens,Ridgewood,40.70595,-73.90871,United States,US,TRUE,moderate,Private room,2004,$766 ,$153 ,5,0,,,3,1,175,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",
38378,22197505,Designer studio in the heart of East Village,54233565079,verified,Prangchat,Manhattan,East Village,40.72853,-73.98762,United States,US,TRUE,strict,Private room,2014,$431 ,$86 ,2,6,04-09-2019,0.87,5,1,23,"Absolutely *no* smoking is allowed on the premise of the property. The upstairs tenant suffers from severe asthma. Please note that by violating this rule, you will be forfeiting the entirety of your $250 security deposit.",
28019,16476230,Adorable midtown studio,42834900060,unconfirmed,Stanley,Manhattan,Murray Hill,40.75033,-73.97546,United States,US,TRUE,flexible,Entire home/apt,2012,$857 ,$171 ,30,2,9/30/2018,0.14,5,50,365,,
5005,3765598,Charming 1 Bed in Trendy Location!,40938119107,unconfirmed,Morgan,Manhattan,East Village,40.72974,-73.98372,United States,US,TRUE,moderate,Entire home/apt,2009,$393 ,$79 ,2,5,8/20/2015,0.08,5,1,129,"-We simply ask you to feel like you are in your own home, and respect the condo and neighbors.   - A copy/scan of a photo ID or an AirBNB ID verification will be required to receive keys.  -No pets, no smoking and no party, no extra parties/guests in the Condo -that are not part of your reservation.   - Please note our check in time: 3:00 PM (or anytime later) and Check out time: 10:00 AM. If you absolutely must check-in during the morning, please message us first.  -Our condo is best for 2 people, but we can certainly accommodate a 3rd person without an extra-person fee!  Let us know first if you have 3 guests and we can bring a floor mattress.",
80288,45344398,FINANCIAL NEAR WORLD TRADE CENTER,97041866268,verified,Anny,Manhattan,Financial District,40.70817,-74.00675,United States,US,TRUE,flexible,Private room,2013,$618 ,$124 ,1,5,10-06-2017,0.19,5,1,0,"HOUSE RULES  You will be staying in an apartment in our family home. We ask that you conduct yourself respectfully.  **Your booking acknowledges your reading and agreement with our house rules** *There will be no access to the cellar or usage of the backyard.    *We ask there be no drugs or parties.   *No smoking is allowed.  *No pets allowed.   *We ask that only the guests that have rented be allowed in the building or apartment no additional overnight guests or visitors are allowed. *Please do not leave any food on the table outside or on the back deck. *Laundry services are not provided.  (There are local laundromats in the area and we have provided some names in our handbook). *No candles are allowed. *Because we have hardwood floors, we ask if you have rolling suitcases that you will use care and try not to roll them around on the floors.  There are plenty of rugs to place them on. *Please Do Not give out any of the entry key codes to anyone (Your code will only be valid for your ",
